date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:21:17	838/838	---MCZ	200	added ('OK')	text/plain	date:Thu,%2009%20Jul%202026%2016:21:17%20GMT	http://18-yard.share.landingsite.dev/robots.txt		(from )
19:21:17	60444/60444	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Jul%202026%2016:21:18%20GMT	http://18-yard.share.landingsite.dev/	C:/Users/go.p/Desktop/18yard/18-yard.share.landingsite.dev/index.html	(from )
19:21:18	4192/4192	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jul%202026%2016:48:09%20GMT	https://assets.ls-assets.com/uploads/d1596f6d-cf73-41df-8335-5d1502727ff8/6bbcdf45-5d73-416a-b5ce-8cee2daabaf9.jpg?w=320	C:/Users/go.p/Desktop/18yard/assets.ls-assets.com/uploads/d1596f6d-cf73-41df-8335-5d1502727ff8/6bbcdf45-5d73-416a-b5ce-8cee2daabaf987f8.jpg	(from http://18-yard.share.landingsite.dev/)
19:21:19	3281/3281	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202026%2015:46:45%20GMT	https://assets.ls-assets.com/uploads/d1596f6d-cf73-41df-8335-5d1502727ff8/45948e8f-1c58-4cbd-8e5b-35eca0f68ab1.jpg?w=320	C:/Users/go.p/Desktop/18yard/assets.ls-assets.com/uploads/d1596f6d-cf73-41df-8335-5d1502727ff8/45948e8f-1c58-4cbd-8e5b-35eca0f68ab187f8.jpg	(from http://18-yard.share.landingsite.dev/)
19:21:19	3148/3148	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202026%2015:46:46%20GMT	https://assets.ls-assets.com/uploads/d1596f6d-cf73-41df-8335-5d1502727ff8/6a570178-e183-4f8d-803a-4da550d44126.jpg?w=320	C:/Users/go.p/Desktop/18yard/assets.ls-assets.com/uploads/d1596f6d-cf73-41df-8335-5d1502727ff8/6a570178-e183-4f8d-803a-4da550d4412687f8.jpg	(from http://18-yard.share.landingsite.dev/)
19:21:19	2433/2433	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202026%2015:46:49%20GMT	https://assets.ls-assets.com/uploads/d1596f6d-cf73-41df-8335-5d1502727ff8/960d998c-43e9-4a50-84df-fcbef3d8f418.jpg?w=320	C:/Users/go.p/Desktop/18yard/assets.ls-assets.com/uploads/d1596f6d-cf73-41df-8335-5d1502727ff8/960d998c-43e9-4a50-84df-fcbef3d8f41887f8.jpg	(from http://18-yard.share.landingsite.dev/)
19:21:19	61204/61204	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202026%2006:50:56%20GMT	https://assets.ls-assets.com/provider/istock/2190006083.jpg?w=480	C:/Users/go.p/Desktop/18yard/assets.ls-assets.com/provider/istock/21900060838e75.jpg	(from http://18-yard.share.landingsite.dev/)
19:21:20	32532/32532	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202026%2006:50:57%20GMT	https://assets.ls-assets.com/provider/istock/2210543063.jpg?w=480	C:/Users/go.p/Desktop/18yard/assets.ls-assets.com/provider/istock/22105430638e75.jpg	(from http://18-yard.share.landingsite.dev/)
19:21:22	47861/47861	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202026%2006:51:00%20GMT	https://assets.ls-assets.com/provider/istock/2275406633.jpg?w=480	C:/Users/go.p/Desktop/18yard/assets.ls-assets.com/provider/istock/22754066338e75.jpg	(from http://18-yard.share.landingsite.dev/)
19:21:22	53045/53045	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202026%2006:50:59%20GMT	https://assets.ls-assets.com/provider/istock/147248012.jpg?w=480	C:/Users/go.p/Desktop/18yard/assets.ls-assets.com/provider/istock/1472480128e75.jpg	(from http://18-yard.share.landingsite.dev/)
